ref,text
19,о ПРИСЛІВЯ
20,Все робиться трудовими пучками та ручками. |
20,"Не кожен, хто дбає, той і має. Частіш: хто робить -- голий ходить."
21,"Робота мене згорбила, не розкіш."
21,"Багатому свято, а вбогому діла багато."
21,"Бідність - не порок, а гірше нещастя."
21,"Тільки й рідні, що лапті одні! Не ходить біда по лісу, тільки по бідних людях. І ."
21,Гроші-то й роблять біду на світі.
21,Нема слободи без біди.
21,"Як село, то й голе: в одній хаті мак, а в другій так."
21,"Біда бідака знайде, хоч і сонце зайде."
21,"Козак з бідою, як риба з водою."
21,"Коли біда діє, голова біліє."
21,"Біда красить, як кип'яток рака."
22,"Біда як іде до кого в гості, то з собою і злидні бере."
22,"Просились злидні на гри дні, та чорт їх довіку викишкає."
22,"Уклюнулись злидні на час, а не виженеш і за рік."
22,За злиднями добра не доробишся.
22,"- Як одна біда йде, то й другу за собою веде."
22,Біда бідою їде й бідою поганяє.
22,Біда ще й за горе зачепилася.
22,Біда біду бачить по сліду.
22,"Той біди не бачив, хто сльозами не вмивався. ."
22,"Біда -- не дуда: стань в неї дуть, то сльози йдуть."
22,"Не йде на ум ні їда, ні вода, коли перед очима біда."
23,"Не біда, що зайшла в двір, а біда, що не виженеш."
23,"Біда здибає легко, а трудно її збутися."
23,"""Біда вимучить -- біда й виучить."
23,"Не за нами одними біда прийшла, та тільки нам від того не легше."
23,"Впився бідою, похмелився сльозою."
23,"Біда біду перебуде--одна згине, друга буде."
23,"Од біди тікав, та на другу натрапив."
23,"Кого біда учепиться, то на спину стеребиться. ."
23,"Трудно вийти з біди, як каменю з води."
23,"Всюди біда, лише там добре, де нас нема."
23,"На віку горя -- море, а радощів --ї1 в ложку не збереш."
23,"Горе--що море: ні перепливти, ні випливти. Горе -- море: всього не вип'єш."
24,"Бреду горем, мов тим морем."
24,"Мало слів, а горя річка."
24,"Води -- хоч топитись, та нема де напитись."
24,Не шукай горя -- воно само знайде.
24,І на горах родить горе.
24,Ї за морем люди б'ються з горем.
24,І в Відні люди бідні.
24,"Що таке Америка, спитай у Каленика: їздив по гроші, а привіз гниди й воші."
24,"Канада - добрий край, як не маєш грошей, то здихай. о"
24,По горе не треба йти за море -- його й дома хватає.
24,"Година горя довша за рік радощів,"
24,Лихо нікого не красить.
24,Горе тільки рака красить.
25,"Горе не задавить, а з ніг звалить."
25,"Іржа їсть залізо, а горе - серце."
25,"Лихо не по дереву ходить, а по людях."
25,"Гірке його життя, як полин."
25,"Крутиться, як білка в колесі."
25,"Змарнів, як полова."
