ref,text,modern_text
1,"Хто за ВІРУ умірає, той собі царство заробляє.","Хто за віру вмирає, той собі царство заробляє."
2,"Невірний гірш Жида, або Турка.",Невірний гірший від Жида або Турка.
4,"Яка віра, така й охвіра.","Яка віра, така й офіра."
5,Нема в світі над БОГА.,Нема в світі над Бога.
,Над Богом нема нікого.,Над Богом нема нікого.
,Без Бога ні до порога.,Без Бога ні до порога.
,Усі ми під Богом.,Усі ми під Богом.
,Усі під Богом ходимо.,Усі під Богом ходимо.
,"Усе Божеє, тільки гріхи наші.","Усе Боже, тільки гріхи наші."
10,Як би не Бог — хто б нам поміг!,Якби не Бог — хто б нам поміг!
,"Кому Бог поможе, то все переможе.","Кому Бог поможе, то все переможе."
,З одним Богом на сто ворог.,З одним Богом на сто ворогів.
,"Як Бог дасть, то й в окно подасть.","Як Бог дасть, то й у вікно подасть."
,"Як Бог дасть, то й тут завдасть.","Як Бог дасть, то й тут завдасть."
,"Коли Бог не годить, то й огонь не горить.","Коли Бог не годить, то й вогонь не горить."
,"Як Бог годить, то й мокре горить.","Як Бог годить, то й мокре горить."
,"Як Бог не поможе, то й святі не оборонять.","Як Бог не поможе, то й святі не оборонять."
,"Як Бог не схоче, то хоч би десять голів мав, то нічого не зробиш.","Як Бог не схоче, то хоч би десять голів мав, то нічого не зробиш."
,"Як Божа воля, то вирнеш з моря.","Як Божа воля, то вирнеш із моря."
,У Бога все мога.,У Бога все можна.
,У Бога все готово.,У Бога все готово.
,"Богу, що хотіти, то чинити.","Богу, що хотіти, то чинити."
,"Богу, ни звьязавши в рай уканути.","Богу, не звʼязавши, в рай не потрапиш."
,"Божа воля, Божа й сила.","Божа воля, Божа й сила."
,"Бог знає, що починає.","Бог знає, що починає."
,Без Божої волі волос з голови не спаде.,Без Божої волі волос з голови не спаде.
,"Нуштить рілля, але Божа воля.","Нехай рілля, але Божа воля."
,"Хто в світі знає, що Біг гадає!","Хто в світі знає, що Бог гадає!"
,"Бог те знає, а не ми грішні.","Бог те знає, а не ми грішні."
,Бога не можна вгадать.,Бога не можна вгадати.
,"Бог дає, як сам знає.","Бог дає, як сам знає."
,"Бог знає, що робить.","Бог знає, що робить."
,Бог не так як люде.,Бог не так як люди.
,Бог судить.,Бог судить.
,"Бог не вчить, як хліб родить.","Бог не вчить, як хліб родить."
,З Богом контракту не брав.,З Богом контракту не брав.
,Бога не дуже гримай.,Бога не дуже гнівай.
,З Богом не бицьця.,З Богом не битися.
,Бого святая воля.,Бо святая воля.
,До Бога з кием не підеш.,До Бога з ціпком не підеш.
,Своєю в Бога не взяти.,Силою в Бога не взяти.
,З Богом не будеш позивацьця.,З Богом не будеш судитися.
,"Кого Бог любить, того й карає.","Кого Бог любить, того й карає."
